t,delta,force,overlap,vel
6.432e-08,3.68594025235427e-06,0,-3.05094025235427e-06,62.3343351094227
6.434e-08,3.68718693905646e-06,0,-3.05218693905646e-06,62.3343351094227
6.436e-08,3.68843362575865e-06,0,-3.05343362575865e-06,62.3343351094227
6.438e-08,3.68968031246084e-06,0,-3.05468031246084e-06,62.3343351094227
6.44e-08,3.69092699916303e-06,0,-3.05592699916303e-06,62.3343351094227
6.442e-08,3.69217368586522e-06,0,-3.05717368586522e-06,62.3343351094227
6.444e-08,3.6934203725674e-06,0,-3.0584203725674e-06,62.3343351094227
6.446e-08,3.69466705926959e-06,0,-3.05966705926959e-06,62.3343351094227
6.448e-08,3.69591374597178e-06,0,-3.06091374597178e-06,62.3343351094227
6.45e-08,3.69716043267397e-06,0,-3.06216043267397e-06,62.3343351094227
6.452e-08,3.69840711937616e-06,0,-3.06340711937616e-06,62.3343351094227
6.454e-08,3.69965380607835e-06,0,-3.06465380607835e-06,62.3343351094227
6.456e-08,3.70090049278053e-06,0,-3.06590049278053e-06,62.3343351094227
6.458e-08,3.70214717948272e-06,0,-3.06714717948272e-06,62.3343351094227
6.46e-08,3.70339386618491e-06,0,-3.06839386618491e-06,62.3343351094227
6.462e-08,3.7046405528871e-06,0,-3.0696405528871e-06,62.3343351094227
6.464e-08,3.70588723958929e-06,0,-3.07088723958929e-06,62.3343351094227
6.466e-08,3.70713392629148e-06,0,-3.07213392629148e-06,62.3343351094227
6.468e-08,3.70838061299366e-06,0,-3.07338061299366e-06,62.3343351094227
6.47e-08,3.70962729969585e-06,0,-3.07462729969585e-06,62.3343351094227
6.472e-08,3.71087398639804e-06,0,-3.07587398639804e-06,62.3343351094227
6.474e-08,3.71212067310023e-06,0,-3.07712067310023e-06,62.3343351094227
6.476e-08,3.71336735980242e-06,0,-3.07836735980242e-06,62.3343351094227
6.478e-08,3.71461404650461e-06,0,-3.07961404650461e-06,62.3343351094227
6.48e-08,3.7158607332068e-06,0,-3.0808607332068e-06,62.3343351094227
6.482e-08,3.71710741990898e-06,0,-3.08210741990898e-06,62.3343351094227
6.484e-08,3.71835410661117e-06,0,-3.08335410661117e-06,62.3343351094227
6.486e-08,3.71960079331336e-06,0,-3.08460079331336e-06,62.3343351094227
6.488e-08,3.72084748001555e-06,0,-3.08584748001555e-06,62.3343351094227
6.49e-08,3.72209416671774e-06,0,-3.08709416671774e-06,62.3343351094227
6.492e-08,3.72334085341993e-06,0,-3.08834085341993e-06,62.3343351094227
6.494e-08,3.72458754012211e-06,0,-3.08958754012211e-06,62.3343351094227
